Cell;Passage;bTau;bGal;DoublingTime
DF2;19;0,1735;34,26666667;48,56923077
DF2;19;0,2113;34,26666667;48,56923077
DF2;19;0,2439;34,26666667;48,56923077
DF2;19;0,2838;34,26666667;48,56923077
DF2;19;0,2609;34,26666667;48,56923077
DF2;19;0,2212;34,26666667;48,56923077
DF2;19;0,1916;34,26666667;48,56923077
DF2;19;0,113;34,26666667;48,56923077
DF2;19;0,1781;34,26666667;48,56923077
DF2;19;0,193;34,26666667;48,56923077
DF2;19;0,1517;34,26666667;48,56923077
DF2;19;0,1754;34,26666667;48,56923077
DF2;19;0,2362;34,26666667;48,56923077
DF2;19;0,1979;34,26666667;48,56923077
DF2;19;0,2181;34,26666667;48,56923077
DF2;20;0,2521;36,37777778;49,7
DF2;20;0,2315;36,37777778;49,7
DF2;20;0,2569;36,37777778;49,7
DF2;20;0,1789;36,37777778;49,7
DF2;20;0,2378;36,37777778;49,7
DF2;20;0,2867;36,37777778;49,7
DF2;20;0,1724;36,37777778;49,7
DF2;20;0,2393;36,37777778;49,7
DF2;20;0,0047;36,37777778;49,7
DF2;20;0,1995;36,37777778;49,7
DF2;20;0,2088;36,37777778;49,7
DF2;20;0,1887;36,37777778;49,7
DF2;20;0,2076;36,37777778;49,7
DF2;20;0,1969;36,37777778;49,7
DF2;20;0,1698;36,37777778;49,7
DF2;20;0,0873;36,37777778;49,7
DF2;20;0,2159;36,37777778;49,7
DF2;20;0,2055;36,37777778;49,7
DF2;20;0,0422;36,37777778;49,7
DF2;20;0,1976;36,37777778;49,7
DF2;21;0,3052;38,48888889;50,83076923
DF2;21;0,4207;38,48888889;50,83076923
DF2;21;0,34;38,48888889;50,83076923
DF2;21;0,4335;38,48888889;50,83076923
DF2;21;0,4158;38,48888889;50,83076923
DF2;21;0,2985;38,48888889;50,83076923
DF2;21;0,2321;38,48888889;50,83076923
DF2;21;0,3392;38,48888889;50,83076923
DF2;21;0,1466;38,48888889;50,83076923
DF2;21;0,2576;38,48888889;50,83076923
DF2;21;0,3151;38,48888889;50,83076923
DF2;21;0,2033;38,48888889;50,83076923
DF2;21;0,2404;38,48888889;50,83076923
DF2;21;0,1815;38,48888889;50,83076923
DF2;21;0,1797;38,48888889;50,83076923
DF2;21;0,3465;38,48888889;50,83076923
DF2;21;0,4066;38,48888889;50,83076923
DF2;21;0,3853;38,48888889;50,83076923
DF2;21;0,324;38,48888889;50,83076923
DF2;21;0,374;38,48888889;50,83076923
DF2;22;0,4976;40,6;51,96153846
DF2;22;0,4131;40,6;51,96153846
DF2;22;0,4069;40,6;51,96153846
