Cell;Passage;bTau;bGal;DoublingTime
DF2;26;0,0084;49,2;
DF2;26;0,1454;49,2;
DF2;26;0,1387;49,2;
DF2;26;0,0925;49,2;
DF2;26;0,2454;49,2;
DF2;26;0,0496;49,2;
DF2;26;0,0914;49,2;
DF2;26;0,0811;49,2;
FetMSC;8;0,4597;;
FetMSC;8;0,5748;;
FetMSC;8;0,4728;;
FetMSC;8;0,57;;
FetMSC;8;0,6203;;
FetMSC;8;0,2289;;
FetMSC;8;0,2457;;
FetMSC;8;0,2487;;
FetMSC;8;0,2142;;
FetMSC;8;0,5696;;
FetMSC;8;0,2006;;
FetMSC;8;0,1689;;
FetMSC;8;0,5684;;
FetMSC;8;0,5511;;
FetMSC;8;0,5407;;
FetMSC;8;0,4865;;
FetMSC;8;0,5599;;
FetMSC;8;0,1374;;
FetMSC;8;0,1324;;
FetMSC;8;0,2332;;
FetMSC;7;0,2575;;
FetMSC;7;0,2525;;
FetMSC;7;0,1783;;
FetMSC;7;0,2506;;
FetMSC;7;0,2406;;
FetMSC;7;0,1471;;
FetMSC;7;0,1852;;
FetMSC;7;0,2569;;
FetMSC;7;0,3012;;
FetMSC;7;0,2174;;
FetMSC;7;0,2194;;
FetMSC;7;0,327;;
FetMSC;7;0,2702;;
FetMSC;7;0,2412;;
FetMSC;7;0,1871;;
FetMSC;7;0,2397;;
FetMSC;7;0,2751;;
FetMSC;7;0,1869;;
FetMSC;7;0,1876;;
FetMSC;7;0,2096;;
FetMSC;13;-0,2012;;
FetMSC;13;-0,281;;
FetMSC;13;-0,0479;;
FetMSC;13;-0,091;;
FetMSC;13;-0,108;;
FetMSC;13;-0,0414;;
FetMSC;13;0,3045;;
FetMSC;13;-0,2324;;
FetMSC;13;-0,1379;;
FetMSC;13;0,1961;;
FetMSC;13;0,1596;;
FetMSC;13;-0,16;;
FetMSC;13;-0,0128;;
FetMSC;13;-0,0543;;
FetMSC;13;0,0129;;
FetMSC;13;-0,1365;;
FetMSC;13;-0,2672;;
FetMSC;13;-0,1647;;
FetMSC;13;-0,0368;;
FetMSC;13;0,0079;;
FetMSC;14;0,0292;;
FetMSC;14;-0,3143;;
FetMSC;14;0,0779;;
FetMSC;14;-0,2557;;
FetMSC;14;-0,1579;;
FetMSC;14;-0,1222;;
FetMSC;14;-0,2071;;
FetMSC;14;-0,2467;;
FetMSC;14;-0,1831;;
FetMSC;14;-0,2024;;
FetMSC;14;0,0039;;
FetMSC;14;0,0361;;
FetMSC;14;-0,0786;;
FetMSC;14;-0,1454;;
FetMSC;14;-0,079;;
FetMSC;14;0,0397;;
FetMSC;14;-0,1213;;
FetMSC;14;-0,0828;;
FetMSC;14;-0,1652;;
FetMSC;14;-0,3601;;
FetMSC;12;-0,079;;
FetMSC;12;0,1922;;
FetMSC;12;0,2921;;
FetMSC;12;0,2711;;
FetMSC;12;0,0461;;
FetMSC;12;0,3181;;
FetMSC;12;0,2302;;
FetMSC;12;0,0278;;
FetMSC;12;0,2324;;
FetMSC;12;0,1297;;
FetMSC;12;0,0512;;
FetMSC;12;0,3541;;
FetMSC;12;-0,0456;;
